HINDUNILVR_Close,ICICIBANK_Close,LT_Close,BHARTIARTL_Close,INFY_Close,ITC_Close,HDFCBANK_Close,SBIN_Close,RELIANCE_Close,TCS_Close
1657.0,488.0,655.95,325.3,9456.0,1827.15,642.5,835.15,1457.8,1398.45
1665.5,505.25,664.125,330.4,9689.6,1819.6,655.85,838.45,1477.3,1406.1
1656.0,513.55,668.375,332.0,9668.8,1829.45,676.05,857.7,1483.3,1391.95
1692.5,516.45,665.575,335.6,9691.8,1869.95,677.35,869.1,1505.0,1430.2
1692.5,518.5,661.95,343.2,9785.2,1895.4,687.25,882.45,1504.6,1422.4
1716.5,527.25,660.6,337.15,9782.8,1856.6,687.95,898.5,1481.9,1400.15
1761.5,533.15,660.275,342.6,9802.2,1880.25,692.25,902.85,1521.6,1449.9
1776.0,546.15,680.175,363.45,9787.8,1878.1,692.35,901.25,1528.1,1457.6
1771.5,555.4,690.575,360.6,9801.2,1940.1,708.4,911.9,1528.4,1454.15
1746.5,582.3,704.025,358.8,10014.4,1929.6,732.35,912.95,1555.9,1470.45
1710.0,576.5,698.775,351.05,9847.8,1402.0,724.6,918.95,1564.5,1453.65
1648.0,573.15,684.525,334.95,9650.0,1366.5,691.8,891.65,1508.9,1401.45
1698.5,574.55,686.375,339.2,9594.2,1375.5,669.95,889.95,1495.5,1412.45
1761.5,575.85,709.975,349.75,9945.4,1431.5,679.2,914.7,1560.5,1465.9
1808.5,590.35,721.175,344.85,9911.2,1418.0,682.25,928.75,1576.0,1462.3
1845.5,599.4,737.875,344.1,9883.2,1407.0,696.0,936.85,1600.9,1469.5
1853.0,598.95,771.875,346.75,10104.8,1384.0,696.0,940.95,1616.6,1472.85
1811.5,601.7,759.475,348.85,10061.2,1367.5,685.15,938.2,1587.1,1482.35
1859.0,593.4,761.6,346.9,10212.2,1369.0,676.65,945.35,1588.5,1497.9
1840.5,590.35,769.525,349.25,10511.4,1369.5,709.9,958.5,1613.3,1489.75
1806.5,562.1,769.95,346.55,10559.8,1315.0,702.65,946.9,1604.1,1470.0
1750.5,534.5,757.1,337.25,10436.4,1277.0,682.05,925.4,1581.7,1424.65
1801.0,529.95,748.5,341.6,10289.8,1264.0,678.55,916.75,1576.8,1444.8
1802.0,531.4,742.975,349.9,10489.2,1288.0,688.25,903.45,1565.9,1448.5
1787.0,538.55,746.6,349.55,10731.6,1276.5,689.8,937.9,1577.6,1467.75
1751.5,525.65,739.075,342.8,10490.6,1283.5,677.9,923.3,1550.5,1441.3
1732.0,506.25,708.2,328.65,10406.0,1252.0,659.4,910.5,1527.7,1424.05
1756.5,500.35,704.2,319.6,10367.0,1240.5,654.4,924.15,1542.0,1434.15
1757.5,496.65,715.825,322.7,10122.2,1245.5,657.75,912.25,1512.9,1440.95
1687.0,497.6,690.7,312.75,10014.8,1202.5,647.65,889.2,1494.6,1401.6
1686.5,496.9,675.35,314.7,10154.4,1165.0,643.9,868.4,1496.3,1416.35
1713.0,506.55,663.225,331.1,10212.8,1213.0,647.65,886.65,1542.4,1428.25
1672.0,497.6,649.825,323.75,10045.2,1171.5,635.5,864.3,1514.2,1407.5
1674.5,503.95,673.225,329.55,10085.2,1181.5,630.65,884.95,1535.2,1440.0
1653.5,510.8,678.95,336.75,10040.6,1164.5,630.1,884.75,1527.1,1422.25
1623.0,479.9,674.45,310.55,9865.0,1157.0,624.6,830.95,1500.6,1401.3
1576.5,485.5,672.2,328.35,9661.6,1154.5,610.95,810.5,1483.2,1362.15
1614.5,498.6,699.375,322.7,10087.8,1202.0,606.65,839.1,1525.0,1401.25
1624.0,498.65,708.975,324.65,10153.4,1213.5,629.45,838.85,1532.4,1409.6
1649.5,499.45,753.875,329.15,10346.0,1252.0,620.7,830.1,1555.4,1429.0
1671.5,499.55,759.15,337.75,10553.4,1261.5,625.25,834.9,1576.0,1464.75
