Date,Open,High,Low,Close
2019-02-18,8703.6,8744.25,8560.5,8573.95
2019-02-15,8890.95,8893.45,8252.1,8643.3
2019-02-14,8835.5,8944.65,8809.7,8920.9
2019-02-13,9000.1,9009.15,8803.55,8839.75
2019-02-12,8839.9,8948.05,8795.25,8904.95
2019-02-11,8924.95,8957.3,8772.6,8838.0
2019-02-08,9060.8,9060.8,8921.6,8984.85
2019-02-07,8937.95,9088.55,8937.95,9056.15
2019-02-06,8803.4,8955,8703.4,8906.9
2019-02-05,8828.5,8887.45,8764.5,8800.6
2019-02-04,8992.1,8998.25,8772.9,8811.9
2019-02-01,8810.65,8991.95,8806.4,8969.55
2019-01-31,8748.45,8866.55,8713.8,8825.35
2019-01-30,8771.5,8784,8692.9,8734.6
2019-01-29,8635.15,8786.55,8562.35,8756.9
2019-01-28,8886.15,8886.15,8638.25,8663.9
2019-01-25,8928.8,8960.65,8851.75,8891.0
2019-01-24,8956.45,9001.05,8845.95,8894.5
2019-01-23,8905.2,8969.5,8855.1,8946.2
2019-01-22,8791.85,8903.3,8783.05,8892.6
2019-01-21,8694.2,8833.7,8694.2,8734.7
2019-01-18,8911.75,8912.55,8616.85,8689.6
2019-01-17,9069.6,9097.55,8905.4,8930.5
2019-01-16,9019.4,9069.5,8989.75,9054.2
2019-01-15,8984.95,9035.4,8958.6,9027.5
2019-01-14,8915.7,8961.25,8879.7,8949.3
2019-01-11,8943.6,8968.65,8867.45,8902.45
2019-01-10,8878.7,8945.25,8866.35,8934.8
2019-01-09,8898.5,8930.45,8831.8,8906.7
2019-01-08,8764.1,8873.15,8754.15,8864.75
2019-01-07,8840.6,8847.15,8711.5,8732.65
2019-01-04,8744.7,8804.05,8683.8,8788.05
2019-01-03,8856.5,8867.55,8704.5,8722.3
2019-01-02,8856,8884.1,8765.3,8839.95
2019-01-01,8890.55,8929.7,8852.65,8881.95
2018-12-31,8866.95,8905.3,8824.2,8868.7
2018-12-28,8700.3,8840.45,8698.05,8814.2
2018-12-27,8774.85,8779.25,8653.85,8665.75
2018-12-26,8694.15,8710.65,8549.4,8684.85
2018-12-24,8804.6,8850.9,8699.45,8726.35
2018-12-21,8851.9,8913.65,8741.25,8774.05
2018-12-20,8782.9,8877.85,8774.7,8853.8
2018-12-19,8864,8893.85,8804.9,8823.45
2018-12-18,8748.25,8853.1,8716,8840.4
2018-12-17,8775.35,8829.8,8746.5,8771.3
2018-12-14,8803.9,8860.45,8660.4,8726.4
2018-12-13,8794.25,8870.05,8720.7,8810.8
2018-12-12,8779.4,8859.45,8691,8801.5
2018-12-11,8417.65,8788.8,8417.65,8746.6
2018-12-10,8539.1,8615.85,8504.9,8535.3
2018-12-07,8743.9,8811.85,8641.85,8682.6
2018-12-06,8796.95,8854.15,8653,8686.5
2018-12-05,9049.6,9075.95,8717.4,8812.2
2018-12-04,9071.9,9157.6,9040.85,9064.4
2018-12-03,9108.05,9150.4,8985.15,9053.4
2018-11-30,9118.85,9289.55,9107.7,9275.7
2018-11-29,9048.65,9127.95,9015.85,9090.65
2018-11-28,9014.95,9090.95,8965.85,9014.8
2018-11-27,9249.2,9274.4,8977.5,9058.45
2018-11-26,9323.4,9352.4,9104,9180.5
2018-11-22,9373.15,9381.55,9287.25,9302.3
2018-11-21,9314,9415.85,9305.95,9375.1
2018-11-20,9363.75,9383.8,9200.95,9218.7
2018-11-19,9386.2,9416.15,9310.45,9399.25
2018-11-16,9256.85,9358.7,9230.2,9301.35
2018-11-15,9233.95,9305.9,9162.55,9218.55
2018-11-14,9437.4,9447.85,9153.4,9216.15
2018-11-13,9568.2,9603.25,9327.05,9422.55
2018-11-12,9683.9,9730.85,9539.75,9557.5
2018-11-09,9554.35,9682.3,9513.95,9643.9
2018-11-07,9514.35,9524.05,9491.95,9511.6
2018-11-06,9455.6,9507.25,9400.5,9454.95
2018-11-05,9542,9658.6,9369.4,9460.5
2018-11-02,9652.2,9690.95,9520.95,9547.85
2018-11-01,9765.9,9801.95,9589.15,9609.15
2018-10-31,9473.05,9778.25,9436.7,9757.5
2018-10-30,9583.8,9626.55,9492,9535.3
2018-10-29,9172.15,9612.95,9168.85,9590.4
2018-10-26,9182.3,9191,9021.2,9115.1
2018-10-25,9246.7,9345.35,9118.25,9142.7
2018-10-24,9441.65,9494.05,9232.9,9334.4
2018-10-23,9612.65,9633.95,9335.25,9368.25
2018-10-22,9704.85,9751.8,9631.65,9646.65
2018-10-19,9657.75,9805.3,9549.9,9650.3
2018-10-17,9911.25,9925.05,9652.95,9686.4
2018-10-16,9805.1,9881.1,9727.3,9836.75
2018-10-15,9559.2,9793.2,9519,9774.1
2018-10-12,9545.6,9676.95,9449.5,9525.6
2018-10-11,9531.65,9725.7,9452.1,9488.65
2018-10-10,9672.3,9828.3,9647.5,9771.35
2018-10-09,9543.95,9724.4,9414.85,9638.75
2018-10-08,9503.05,9644.35,9384.2,9505.8
2018-10-05,9578.1,9776.45,9498.2,9547.35
2018-10-04,9869.35,9918.35,9496,9630.75
2018-10-03,10039.45,10142.55,9924.85,9950.9
2018-10-01,9987.4,10067.55,9775.7,10034.4
2018-09-28,10111.7,10149.45,9881.55,9972.45
2018-09-27,10314.6,10336.05,10077.15,10092.45
2018-09-26,10335.2,10440.4,10213.35,10289.3
2018-09-25,10007.7,10269.35,9992.85,10245.15
2018-09-24,10328.95,10375.2,9952.2,9994.75
2018-09-21,10542.95,10605.35,9861.35,10252.35
2018-09-19,10559.55,10636.85,10341.7,10456.95
2018-09-18,10524.85,10652.85,10433.7,10465.4
2018-09-17,10634,10739.7,10474.4,10504.15
2018-09-14,10534.95,10673.1,10499.4,10652.85
2018-09-12,10266.3,10417.4,10152.45,10391.6
2018-09-11,10502.8,10577.85,10244.35,10279.05
2018-09-10,10624.5,10786.35,10414.55,10446.5
2018-09-07,10475.75,10704.6,10361.8,10661.25
2018-09-06,10371.5,10595.55,10333.5,10583.15
2018-09-05,10211.4,10378.7,10170.6,10303.4
2018-09-04,10383.55,10422.45,10119.8,10205.55
2018-09-03,10463.4,10577.85,10318.45,10359.9
2018-08-31,10157.25,10445.05,10155.15,10390.95
2018-08-30,10024.7,10148.3,10001.35,10120.55
2018-08-29,10062.7,10136.4,9980.85,10008.9
2018-08-28,10132.5,10243.2,10030.25,10050.1
2018-08-27,10113.95,10152.7,10028.25,10094.2
2018-08-24,10083.3,10086.35,9879,10061.1
2018-08-23,10017.4,10142.45,9999.45,10076.8
2018-08-21,9839.8,9992.75,9745.05,9950.5
2018-08-20,9725.7,9824.4,9723.35,9799.15
2018-08-17,9643.65,9780.95,9639.9,9693.85
2018-08-16,9519.5,9613,9474.7,9595.35
2018-08-14,9205.9,9529.45,9147.6,9481.15
2018-08-13,9117.35,9245.15,9094.25,9186.6
2018-08-10,9243.1,9281.9,9102.55,9138.25
2018-08-09,9345.95,9434.15,9199.25,9249.95
2018-08-08,9379,9442.35,9275.55,9307.25
2018-08-07,9462.8,9462.8,9327.75,9371.05
2018-08-06,9551.2,9597.4,9396.45,9408.6
2018-08-03,9468.65,9558.5,9463.1,9500.75
2018-08-02,9308.9,9518.7,9302.55,9424.65
2018-08-01,9190.45,9313.05,9168.5,9301.7
2018-07-31,9125.8,9210.75,9088,9179.4
2018-07-30,9021.9,9156.7,8978.4,9115.55
2018-07-27,9021.7,9106.4,8982.25,9039.0
2018-07-26,8938,9054.05,8908.6,8994.65
2018-07-25,9089,9098.45,8942.4,8969.25
2018-07-24,8943.95,9063.65,8929.45,9049.05
2018-07-23,8917.45,8951.65,8858.15,8937.4
2018-07-20,8752.15,8914.5,8727.7,8895.25
2018-07-19,8910.8,8914.85,8724.65,8749.9
2018-07-18,8970.1,8997.1,8833.4,8885.65
2018-07-17,8785.3,8955.55,8743.85,8926.1
2018-07-16,9132.3,9132.3,8753.9,8786.4
2018-07-13,9255.55,9275.8,9142.2,9164.0
2018-07-12,9271.85,9348.3,9198.6,9244.1
2018-07-11,9258.9,9330.55,9208.05,9228.7
2018-07-10,9343.9,9356.5,9225.35,9276.1
2018-07-09,9241.5,9336.75,9236.5,9307.6
2018-07-06,9273.25,9360,9159,9189.9
2018-07-05,9429.9,9462.4,9255.6,9274.25
2018-07-04,9355.1,9460.95,9337.7,9399.6
2018-07-03,9157.25,9348.35,9079.6,9325.3
2018-07-02,9198.9,9223.75,9092.3,9133.9
2018-06-29,9172.8,9218.6,9083.5,9173.15
2018-06-28,9268.1,9344.15,9119.7,9149.4
2018-06-27,9277.65,9305.1,9179.5,9263.45
2018-06-26,9275.65,9305.4,9228.4,9247.75
2018-06-25,9360.75,9469.9,9260.65,9286.8
2018-06-22,9195.4,9389,9082.25,9360.9
2018-06-21,9343.55,9345.85,9177.5,9198.8
2018-06-20,9292.4,9371.55,9204.8,9291.35
2018-06-19,9323.4,9424.15,9234.3,9253.95
2018-06-18,9314.9,9390.55,9190.05,9319.3
2018-06-15,9159.4,9352.2,9151.45,9316.25
2018-06-14,8964.35,9133.45,8923.25,9112.45
2018-06-13,8949.9,9084.35,8914.2,8948.95
2018-06-12,8669.3,8902.6,8665.45,8870.45
2018-06-11,8624.7,8780.75,8610.95,8647.15
2018-06-08,8234.35,8647.15,8220.95,8603.95
2018-06-07,8259.2,8294,8210.9,8252.15
2018-06-06,8126.9,8245.1,8078.3,8233.65
2018-06-05,8226.65,8232.05,8019.3,8117.75
2018-06-04,8263.7,8323.5,8176.8,8205.8
2018-06-01,8248.7,8297.8,8181.6,8213.2
2018-05-31,8351,8355.35,8181.3,8220.25
2018-05-30,8341.35,8411.15,8297.75,8321.1
2018-05-29,8464.8,8556.3,8381.5,8410.45
2018-05-28,8404.25,8553.6,8381.3,8498.2
2018-05-25,8247.65,8320.1,8156.35,8297.25
2018-05-24,8115.05,8231.65,8063.3,8207.0
2018-05-23,8100.85,8239.35,8050,8069.7
2018-05-22,7993.25,8152.1,7900.35,8118.9
2018-05-21,8211.35,8218.15,7956.05,7983.2
2018-05-18,8441.7,8443.75,8195.35,8211.85
2018-05-17,8417,8461.25,8328.85,8403.0
2018-05-16,8383.2,8425.1,8287.1,8399.1
2018-05-15,8449.5,8520.55,8313,8401.15
2018-05-14,8458.35,8598.05,8438,8462.05
2018-05-11,8555.4,8565.45,8403.35,8445.7
2018-05-10,8724.1,8734.35,8518.7,8544.95
2018-05-09,8754.05,8766.05,8693.5,8704.1
2018-05-08,8812.95,8882.35,8734.95,8753.25
2018-05-07,8828.75,8848.35,8674.2,8774.4
2018-05-04,8962,8963.85,8801.6,8817.45
2018-05-03,8968.7,8977.7,8796.85,8966.3
2018-05-02,9086.95,9110.55,8921.75,8961.05
2018-04-30,9030.45,9090.85,9017.95,9060.7
2018-04-27,8955.75,9022.05,8914.65,8987.4
2018-04-26,8914.4,8996.55,8883.1,8896.6
2018-04-25,8964.2,8973.45,8859.8,8901.15
2018-04-24,8988.7,9092.7,8950.2,8984.15
2018-04-23,8781.1,8976.8,8781.1,8949.9
2018-04-20,8813.4,8846.35,8769.35,8819.8
2018-04-19,8833.15,8848.15,8768.9,8829.75
2018-04-18,8858.75,8904.1,8772.8,8790.0
2018-04-17,8890.6,8893.95,8803.45,8827.75
2018-04-16,8707.9,8877.1,8696.25,8867.2
2018-04-13,8694.7,8787.1,8678.05,8730.6
2018-04-12,8752.6,8752.6,8669.2,8685.05
2018-04-11,8752.95,8789.25,8691.65,8761.8
2018-04-10,8763.2,8816.8,8698.75,8719.6
2018-04-09,8785.85,8841.55,8721.05,8738.15
2018-04-06,8657.95,8808.55,8643.9,8772.4
2018-04-05,8637.55,8732.95,8621.15,8655.65
2018-04-04,8716.35,8732.05,8545.65,8569.5
2018-04-03,8583.1,8701.55,8568.55,8664.7
2018-04-02,8424.4,8637.4,8385.3,8620.85
2018-03-28,8445.3,8456.7,8332.15,8358.05
2018-03-27,8422.3,8491.7,8417.7,8452.5
2018-03-26,8323.25,8406.25,8282.05,8390.5
2018-03-23,8378.2,8406.05,8280.45,8327.4
2018-03-22,8590.15,8625.7,8459,8474.0
2018-03-21,8639.2,8674.1,8505.5,8525.45
2018-03-20,8471.85,8601.2,8395.3,8578.7
2018-03-19,8606.25,8618.15,8490.4,8512.9
2018-03-16,8639.8,8738.3,8528.7,8546.8
2018-03-15,8708.25,8796.1,8644.85,8670.55
2018-03-14,8709.7,8726.8,8656.7,8701.55
2018-03-13,8594.4,8739.8,8593.2,8712.1
2018-03-12,8582.9,8618.15,8492.7,8600.7
2018-03-09,8611.55,8688,8491.5,8515.7
2018-03-08,8672.65,8696.55,8499.85,8586.35
2018-03-07,8753.6,8756.3,8600.95,8615.0
2018-03-06,8945.85,8955.6,8723.8,8749.55
2018-03-05,8888.85,8905.55,8770.8,8855.8
2018-03-01,8966.4,9003.9,8905.2,8917.75
2018-02-28,8995,9093.05,8938.95,8960.25
2018-02-27,9081.5,9146.6,9002.55,9023.45
2018-02-26,9091.75,9097.85,9016.7,9065.1
2018-02-23,8924.3,9124.7,8909.8,9095.4
2018-02-22,8832.7,8901.45,8787.05,8861.75
2018-02-21,9054.5,9073.5,8753.55,8843.4
2018-02-20,9054.45,9086.5,8982.1,9020.75
2018-02-19,9188.3,9198.65,8941.9,9027.9
2018-02-16,9231.85,9262.15,9141.05,9180.9
