"Index Name","Date","Open","High","Low","Close"
"NIFTY FINANCIAL SERVICES EX-BANK","09 Apr 2007","-","-","-","2126.25"
"NIFTY FINANCIAL SERVICES EX-BANK","05 Apr 2007","-","-","-","2046.13"
"NIFTY FINANCIAL SERVICES EX-BANK","04 Apr 2007","-","-","-","2013.57"
"NIFTY FINANCIAL SERVICES EX-BANK","03 Apr 2007","-","-","-","1980.85"
"NIFTY FINANCIAL SERVICES EX-BANK","02 Apr 2007","-","-","-","1981.16"
"NIFTY FINANCIAL SERVICES EX-BANK","30 Mar 2007","-","-","-","2090.08"
"NIFTY FINANCIAL SERVICES EX-BANK","29 Mar 2007","-","-","-","2084.39"
"NIFTY FINANCIAL SERVICES EX-BANK","28 Mar 2007","-","-","-","2054.16"
"NIFTY FINANCIAL SERVICES EX-BANK","26 Mar 2007","-","-","-","2108.67"
"NIFTY FINANCIAL SERVICES EX-BANK","23 Mar 2007","-","-","-","2125.00"
"NIFTY FINANCIAL SERVICES EX-BANK","22 Mar 2007","-","-","-","2117.22"
"NIFTY FINANCIAL SERVICES EX-BANK","21 Mar 2007","-","-","-","2101.33"
"NIFTY FINANCIAL SERVICES EX-BANK","20 Mar 2007","-","-","-","2101.06"
"NIFTY FINANCIAL SERVICES EX-BANK","19 Mar 2007","-","-","-","2067.34"
"NIFTY FINANCIAL SERVICES EX-BANK","16 Mar 2007","-","-","-","2007.62"
"NIFTY FINANCIAL SERVICES EX-BANK","15 Mar 2007","-","-","-","2021.10"
"NIFTY FINANCIAL SERVICES EX-BANK","14 Mar 2007","-","-","-","2038.09"
"NIFTY FINANCIAL SERVICES EX-BANK","13 Mar 2007","-","-","-","2099.43"
"NIFTY FINANCIAL SERVICES EX-BANK","12 Mar 2007","-","-","-","2088.24"
"NIFTY FINANCIAL SERVICES EX-BANK","09 Mar 2007","-","-","-","2046.74"
"NIFTY FINANCIAL SERVICES EX-BANK","08 Mar 2007","-","-","-","2039.07"
"NIFTY FINANCIAL SERVICES EX-BANK","07 Mar 2007","-","-","-","1951.39"
"NIFTY FINANCIAL SERVICES EX-BANK","06 Mar 2007","-","-","-","1973.60"
"NIFTY FINANCIAL SERVICES EX-BANK","05 Mar 2007","-","-","-","1959.84"
"NIFTY FINANCIAL SERVICES EX-BANK","02 Mar 2007","-","-","-","2081.27"
"NIFTY FINANCIAL SERVICES EX-BANK","01 Mar 2007","-","-","-","2103.17"
"NIFTY FINANCIAL SERVICES EX-BANK","28 Feb 2007","-","-","-","2112.13"
"NIFTY FINANCIAL SERVICES EX-BANK","27 Feb 2007","-","-","-","2206.94"
"NIFTY FINANCIAL SERVICES EX-BANK","26 Feb 2007","-","-","-","2212.50"
"NIFTY FINANCIAL SERVICES EX-BANK","23 Feb 2007","-","-","-","2191.87"
"NIFTY FINANCIAL SERVICES EX-BANK","22 Feb 2007","-","-","-","2251.99"
"NIFTY FINANCIAL SERVICES EX-BANK","21 Feb 2007","-","-","-","2287.34"
"NIFTY FINANCIAL SERVICES EX-BANK","20 Feb 2007","-","-","-","2284.91"
"NIFTY FINANCIAL SERVICES EX-BANK","19 Feb 2007","-","-","-","2331.77"
"NIFTY FINANCIAL SERVICES EX-BANK","15 Feb 2007","-","-","-","2336.22"
"NIFTY FINANCIAL SERVICES EX-BANK","14 Feb 2007","-","-","-","2260.54"
"NIFTY FINANCIAL SERVICES EX-BANK","13 Feb 2007","-","-","-","2248.45"
"NIFTY FINANCIAL SERVICES EX-BANK","12 Feb 2007","-","-","-","2298.44"
"NIFTY FINANCIAL SERVICES EX-BANK","09 Feb 2007","-","-","-","2394.53"
"NIFTY FINANCIAL SERVICES EX-BANK","08 Feb 2007","-","-","-","2420.82"
"NIFTY FINANCIAL SERVICES EX-BANK","07 Feb 2007","-","-","-","2409.83"
"NIFTY FINANCIAL SERVICES EX-BANK","06 Feb 2007","-","-","-","2384.92"
"NIFTY FINANCIAL SERVICES EX-BANK","05 Feb 2007","-","-","-","2380.26"
"NIFTY FINANCIAL SERVICES EX-BANK","02 Feb 2007","-","-","-","2294.02"
"NIFTY FINANCIAL SERVICES EX-BANK","01 Feb 2007","-","-","-","2257.80"
"NIFTY FINANCIAL SERVICES EX-BANK","31 Jan 2007","-","-","-","2257.80"
"NIFTY FINANCIAL SERVICES EX-BANK","29 Jan 2007","-","-","-","2286.02"
"NIFTY FINANCIAL SERVICES EX-BANK","25 Jan 2007","-","-","-","2265.47"
"NIFTY FINANCIAL SERVICES EX-BANK","24 Jan 2007","-","-","-","2211.97"
"NIFTY FINANCIAL SERVICES EX-BANK","23 Jan 2007","-","-","-","2170.68"
"NIFTY FINANCIAL SERVICES EX-BANK","22 Jan 2007","-","-","-","2167.93"
"NIFTY FINANCIAL SERVICES EX-BANK","19 Jan 2007","-","-","-","2149.30"
"NIFTY FINANCIAL SERVICES EX-BANK","18 Jan 2007","-","-","-","2158.18"
"NIFTY FINANCIAL SERVICES EX-BANK","17 Jan 2007","-","-","-","2154.13"
"NIFTY FINANCIAL SERVICES EX-BANK","16 Jan 2007","-","-","-","2150.45"
"NIFTY FINANCIAL SERVICES EX-BANK","15 Jan 2007","-","-","-","2141.95"
"NIFTY FINANCIAL SERVICES EX-BANK","12 Jan 2007","-","-","-","2134.21"
"NIFTY FINANCIAL SERVICES EX-BANK","11 Jan 2007","-","-","-","2092.91"
