"Index Name","Date","Open","High","Low","Close"
"NIFTY FINANCIAL SERVICES","06 Jan 2020","14472.8","14493.15","14161.85","14202.50"
"NIFTY FINANCIAL SERVICES","03 Jan 2020","14644.6","14656.75","14510.85","14560.70"
"NIFTY FINANCIAL SERVICES","02 Jan 2020","14578.15","14707.6","14572.9","14697.50"
"NIFTY FINANCIAL SERVICES","01 Jan 2020","14590.1","14621.65","14543.4","14574.20"
"NIFTY FINANCIAL SERVICES","31 Dec 2019","14643.35","14643.35","14535.6","14557.40"
"NIFTY FINANCIAL SERVICES","30 Dec 2019","14719","14737.45","14599.25","14650.60"
"NIFTY FINANCIAL SERVICES","27 Dec 2019","14578.4","14696.4","14543.95","14679.35"
"NIFTY FINANCIAL SERVICES","26 Dec 2019","14609.45","14619.6","14506.45","14523.70"
"NIFTY FINANCIAL SERVICES","24 Dec 2019","14643.4","14661.8","14584.25","14603.70"
"NIFTY FINANCIAL SERVICES","23 Dec 2019","14635.25","14680.6","14570.9","14648.80"
"NIFTY FINANCIAL SERVICES","20 Dec 2019","14586.35","14634.8","14550.6","14625.80"
"NIFTY FINANCIAL SERVICES","19 Dec 2019","14626.85","14633.6","14552.1","14571.45"
"NIFTY FINANCIAL SERVICES","18 Dec 2019","14602.95","14634.4","14521","14618.95"
"NIFTY FINANCIAL SERVICES","17 Dec 2019","14441","14572.2","14410.45","14554.50"
"NIFTY FINANCIAL SERVICES","16 Dec 2019","14455.1","14466.6","14386.25","14417.60"
"NIFTY FINANCIAL SERVICES","13 Dec 2019","14344.5","14460.65","14334.3","14410.45"
"NIFTY FINANCIAL SERVICES","12 Dec 2019","14204.45","14302.85","14184.55","14292.90"
"NIFTY FINANCIAL SERVICES","11 Dec 2019","14088.05","14193.45","14053.05","14166.85"
"NIFTY FINANCIAL SERVICES","10 Dec 2019","14128.7","14150.55","14056.6","14071.60"
"NIFTY FINANCIAL SERVICES","09 Dec 2019","14047","14133.7","13985.8","14092.40"
"NIFTY FINANCIAL SERVICES","06 Dec 2019","14227.3","14258.05","13984.8","14041.85"
"NIFTY FINANCIAL SERVICES","05 Dec 2019","14265.5","14305.35","14156.9","14194.05"
"NIFTY FINANCIAL SERVICES","04 Dec 2019","14108.2","14265.5","14068.1","14246.55"
"NIFTY FINANCIAL SERVICES","03 Dec 2019","14181.2","14184.15","14070.2","14140.45"
"NIFTY FINANCIAL SERVICES","02 Dec 2019","14236.35","14237.9","14102.25","14163.05"
"NIFTY FINANCIAL SERVICES","29 Nov 2019","14276.1","14284.7","14133.7","14208.85"
"NIFTY FINANCIAL SERVICES","28 Nov 2019","14303.25","14330.1","14239.55","14287.00"
"NIFTY FINANCIAL SERVICES","27 Nov 2019","14248.2","14295.45","14202.8","14266.05"
"NIFTY FINANCIAL SERVICES","26 Nov 2019","14212.9","14252.9","14108","14207.45"
"NIFTY FINANCIAL SERVICES","25 Nov 2019","13946.55","14169.4","13940.7","14155.75"
"NIFTY FINANCIAL SERVICES","22 Nov 2019","14024.9","14026.35","13919.8","13952.10"
"NIFTY FINANCIAL SERVICES","21 Nov 2019","13995.45","14052.95","13928.55","14019.20"
"NIFTY FINANCIAL SERVICES","20 Nov 2019","14030.85","14058.35","13965.35","13982.20"
